"id:ID","name","company","dun","grid","ror","uri","uuid"
"1","d4k","{""identifier"": ""42805610"", ""country_code"": ""DNK""}","null","null","null","http://ra.d4k.dk/dataset/ra/d4k","1e5ebe61-e331-45ef-b3ed-ac7f1877c60e"
"2","CDISC","null","{""identifier"": ""084433759""}","null","null","http://ra.d4k.dk/dataset/ra/cdisc","c830df22-a710-4111-b17a-3558d748f5e7"
