"id:ID","name","company","dun","grid","ror","uri","uuid"
"1","d4k","{'identifier': '42805610', 'country_code': 'DNK'}","","","","http://ra.d4k.dk/dataset/ra/d4k","ab6f628c-69f6-47b2-b6da-241948c8015b"
"2","CDISC","","{'identifier': '084433759'}","","","http://ra.d4k.dk/dataset/ra/cdisc","73d6357d-7f1b-4877-b5c0-e36f6d5cf631"
